Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,0,192,6,522,2
0.1,Teste,1,189,10,522,0
0.1,Teste,2,197,19,504,1
0.1,Teste,3,187,17,509,8
0.1,Teste,4,197,12,511,1
0.1,Teste,5,187,21,512,1
0.1,Teste,6,186,16,517,2
0.1,Teste,7,166,19,530,6
0.1,Teste,8,198,15,507,1
0.1,Teste,9,201,9,510,1
0.1,Teste,10,193,3,525,1
0.1,Teste,11,188,6,526,1
0.1,Teste,12,197,11,512,1
0.1,Teste,13,194,6,520,1
0.1,Teste,14,198,4,519,0
0.1,Teste,15,188,1,532,0
0.1,Teste,16,186,6,527,2
0.1,Teste,17,172,3,546,0
0.1,Teste,18,197,3,519,2
0.1,Teste,19,199,3,516,3
0.2,Teste,0,183,55,473,11
0.2,Teste,1,181,56,476,8
0.2,Teste,2,188,62,461,10
0.2,Teste,3,177,62,464,18
0.2,Teste,4,195,38,485,3
0.2,Teste,5,178,66,467,10
0.2,Teste,6,179,52,481,9
0.2,Teste,7,157,63,486,15
0.2,Teste,8,192,66,456,7
0.2,Teste,9,191,42,477,11
0.2,Teste,10,191,12,516,3
0.2,Teste,11,188,14,518,1
0.2,Teste,12,196,18,505,2
0.2,Teste,13,194,9,517,1
0.2,Teste,14,198,8,515,0
0.2,Teste,15,185,8,525,3
0.2,Teste,16,186,16,517,2
0.2,Teste,17,171,12,537,1
0.2,Teste,18,197,12,510,2
0.2,Teste,19,197,10,509,5
0.3,Teste,0,40,453,75,154
0.3,Teste,1,38,470,62,151
0.3,Teste,2,38,459,64,160
0.3,Teste,3,27,456,70,168
0.3,Teste,4,39,451,72,159
0.3,Teste,5,40,470,63,148
0.3,Teste,6,33,490,43,155
0.3,Teste,7,38,476,73,134
0.3,Teste,8,33,463,59,166
0.3,Teste,9,41,461,58,161
0.3,Teste,10,3,520,8,191
0.3,Teste,11,5,528,4,184
0.3,Teste,12,9,514,9,189
0.3,Teste,13,2,514,12,193
0.3,Teste,14,2,520,3,196
0.3,Teste,15,5,525,8,183
0.3,Teste,16,2,525,8,186
0.3,Teste,17,5,534,15,167
0.3,Teste,18,9,514,8,190
0.3,Teste,19,2,513,6,200
0.4,Teste,0,8,512,16,186
0.4,Teste,1,6,524,8,183
0.4,Teste,2,10,513,10,188
0.4,Teste,3,6,512,14,189
0.4,Teste,4,9,504,19,189
0.4,Teste,5,13,517,16,175
0.4,Teste,6,10,525,8,178
0.4,Teste,7,11,535,14,161
0.4,Teste,8,9,501,21,190
0.4,Teste,9,7,509,10,195
0.4,Teste,10,0,527,1,194
0.4,Teste,11,2,531,1,187
0.4,Teste,12,4,520,3,194
0.4,Teste,13,0,523,3,195
0.4,Teste,14,0,523,0,198
0.4,Teste,15,1,529,4,187
0.4,Teste,16,1,531,2,187
0.4,Teste,17,1,545,4,171
0.4,Teste,18,0,519,3,199
0.4,Teste,19,1,518,1,201
0.5,Teste,0,2,525,3,192
0.5,Teste,1,1,531,1,188
0.5,Teste,2,1,520,3,197
0.5,Teste,3,1,522,4,194
0.5,Teste,4,3,521,2,195
0.5,Teste,5,1,532,1,187
0.5,Teste,6,1,531,2,187
0.5,Teste,7,1,547,2,171
0.5,Teste,8,1,519,3,198
0.5,Teste,9,2,517,2,200
0.5,Teste,10,0,528,0,194
0.5,Teste,11,0,532,0,189
0.5,Teste,12,3,521,2,195
0.5,Teste,13,0,524,2,195
0.5,Teste,14,0,523,0,198
0.5,Teste,15,1,531,2,187
0.5,Teste,16,1,531,2,187
0.5,Teste,17,0,546,3,172
0.5,Teste,18,0,519,3,199
0.5,Teste,19,0,518,1,202
0.6,Teste,0,1,528,0,193
0.6,Teste,1,1,532,0,188
0.6,Teste,2,1,523,0,197
0.6,Teste,3,1,526,0,194
0.6,Teste,4,0,522,1,198
0.6,Teste,5,0,532,1,188
0.6,Teste,6,1,533,0,187
0.6,Teste,7,0,549,0,172
0.6,Teste,8,1,522,0,198
0.6,Teste,9,0,519,0,202
0.6,Teste,10,0,528,0,194
0.6,Teste,11,0,532,0,189
0.6,Teste,12,3,522,1,195
0.6,Teste,13,0,524,2,195
0.6,Teste,14,0,523,0,198
0.6,Teste,15,1,531,2,187
0.6,Teste,16,1,531,2,187
0.6,Teste,17,0,547,2,172
0.6,Teste,18,0,519,3,199
0.6,Teste,19,0,519,0,202
0.7,Teste,0,0,528,0,194
0.7,Teste,1,0,532,0,189
0.7,Teste,2,1,523,0,197
0.7,Teste,3,0,526,0,195
0.7,Teste,4,0,522,1,198
0.7,Teste,5,0,532,1,188
0.7,Teste,6,1,533,0,187
0.7,Teste,7,0,549,0,172
0.7,Teste,8,1,522,0,198
0.7,Teste,9,0,519,0,202
0.7,Teste,10,0,528,0,194
0.7,Teste,11,0,532,0,189
0.7,Teste,12,3,522,1,195
0.7,Teste,13,0,526,0,195
0.7,Teste,14,0,523,0,198
0.7,Teste,15,0,533,0,188
0.7,Teste,16,1,532,1,187
0.7,Teste,17,0,548,1,172
